run_id,Model,bleu@1,bleu@2,bleu@3,bleu@4,dist@1,dist@2,dist@3,dist@4,item_ratio,sent_cnt,elapsed_infer_sec,elapsed_infer_human,source_log,config_hash,seed,batch_scale,mixed_precision,num_workers,enable_torch_compile,lr_dialogpt,batch_rec,batch_gen
2026-04-19_13-56-46,ECR (our run),0.0186251797641254,0.0040795257188981,1.24674474679061e-308,1.24674474679061e-308,2.716285714285714,10.810285714285714,21.446857142857144,31.41657142857143,0.0,3500,534.999,00:08:54,2026-04-19-06-51-28.log,f69871d6,42,1.0,bf16,16,True,0.0001,128,16
2026-04-19_16-14-36,ECR (our run),0.0183869435526271,0.0041469541174044,1.1435260671432756e-05,1.2573439735806145e-308,3.180857142857143,11.949142857142856,22.97714285714286,33.17942857142857,0.0,3500,553.479,00:09:13,2026-04-19-16-04-01.log,f69871d6,42,1.0,bf16,16,True,0.0001,128,16
2026-04-19_21-15-18,ECR (our run),0.0186182120141938,0.0039941503337573,9.26984661924421e-06,1.268806408112494e-308,3.1957142857142857,11.862,22.832,33.027142857142856,0.0,3500,553.394,00:09:13,2026-04-19-21-04-43.log,214b48a7,42,1.0,no,16,False,0.0001,128,16
2026-04-20_04-28-55,ECR (our run),0.018393412283270467,0.003810250945529637,1.2528938258636e-308,1.2528938258636e-308,3.200285714285714,11.694,22.55257142857143,32.81514285714286,0.0,3500,552.21,00:09:12,2026-04-20-04-18-20.log,214b48a7,42,1.0,no,16,False,0.0001,128,16
