run_id,elapsed_pre_sec,elapsed_rec_sec,elapsed_emp_sec,elapsed_infer_sec,elapsed_total_sec,elapsed_pre_human,elapsed_rec_human,elapsed_emp_human,elapsed_infer_human,elapsed_total_human,log_pre,log_rec,log_emp,log_infer,config_hash,seed,batch_scale,mixed_precision,num_workers,enable_torch_compile,lr_dialogpt,batch_rec,batch_gen,elapsed_rec_export_sec,elapsed_rec_export_human,log_rec_export
2026-04-19_13-56-46,1612.871,70.709,,534.999,2218.579,00:26:52,00:01:10,,00:08:54,00:36:58,2026-04-19-03-57-54.log,2026-04-19-05-47-15.log,,2026-04-19-06-51-28.log,f69871d6,42,1.0,bf16,16,True,0.0001,128,16,,,
2026-04-19_16-14-36,2208.789,53.202,,553.479,2815.4700000000003,00:36:48,00:00:53,,00:09:13,00:46:55,2026-04-19-14-13-14.log,2026-04-19-15-22-28.log,,2026-04-19-16-04-01.log,f69871d6,42,1.0,bf16,16,True,0.0001,128,16,,,
2026-04-19_21-15-18,2441.487,1445.68,,553.394,4493.587,00:40:41,00:24:05,,00:09:13,01:14:53,2026-04-19-17-27-55.log,2026-04-19-18-12-44.log,,2026-04-19-21-04-43.log,214b48a7,42,1.0,no,16,False,0.0001,128,16,53.026,00:00:53,2026-04-19-18-40-57.log
2026-04-20_04-28-55,2434.322,1567.255,,552.21,4611.082,00:40:34,00:26:07,,00:09:12,01:16:51,2026-04-20-02-06-53.log,2026-04-20-02-51-38.log,,2026-04-20-04-18-20.log,214b48a7,42,1.0,no,16,False,0.0001,128,16,57.295,00:00:57,2026-04-20-03-21-56.log
